Dataset,Rocket,PF,BOSS,ST,ResNet,HCTE,ITime,CHIEF
InsectWingbeatSound,0.6568,0.6187,0.5232,0.6268,0.5065,0.6551,0.6348,0.6465
ItalyPowerDemand,0.9696,0.9671,0.9086,0.9475,0.9630,0.9631,0.9679,0.9718
LargeKitchenAppliances,0.9005,0.7819,0.7653,0.8587,0.8997,0.8640,0.9067,0.7893
Lightning2,0.7590,0.8656,0.8361,0.7377,0.7705,0.8197,0.8033,0.7705
Lightning7,0.8233,0.8219,0.6849,0.7260,0.8452,0.7397,0.8082,0.7534
Mallat,0.9559,0.9576,0.9382,0.9642,0.9716,0.9620,0.9629,0.9774
Meat,0.9483,0.9333,0.9000,0.8500,0.9683,0.9333,0.9500,0.9000
MedicalImages,0.7995,0.7582,0.7184,0.6697,0.7703,0.7776,0.7987,0.7974
MiddlePhalanxOutlineAgeGroup,0.5903,0.5623,0.5455,0.6429,0.5688,0.5974,0.5325,0.5909
MiddlePhalanxOutlineCorrect,0.8385,0.8364,0.7801,0.7938,0.8089,0.8316,0.8351,0.8522
MiddlePhalanxTW,0.5604,0.5292,0.5455,0.5195,0.4844,0.5714,0.5130,0.5584
MoteStrain,0.9146,0.9024,0.8786,0.8970,0.9276,0.9329,0.9034,0.9441
NonInvasiveFetalECGThorax1,0.9530,0.9066,0.8382,0.9496,0.9454,0.9303,0.9623,0.9074
NonInvasiveFetalECGThorax2,0.9691,0.9399,0.9008,0.9511,0.9461,0.9445,0.9674,0.9445
OSULeaf,0.9409,0.8273,0.9545,0.9669,0.9785,0.9793,0.9339,0.9876
OliveOil,0.9167,0.8667,0.8667,0.9000,0.8300,0.9000,0.8667,0.9000
PhalangesOutlinesCorrect,0.8343,0.8235,0.7716,0.7634,0.8390,0.8065,0.8543,0.8485
Phoneme,0.2799,0.3201,0.2648,0.3207,0.3343,0.3824,0.3354,0.3608
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ProximalPhalanxOutlineAgeGroup,0.8556,0.8463,0.8341,0.8439,0.8532,0.8585,0.8537,0.8488
ProximalPhalanxOutlineCorrect,0.8990,0.8732,0.8488,0.8832,0.9213,0.8797,0.9313,0.8969
ProximalPhalanxTW,0.8166,0.7790,0.8000,0.8049,0.7805,0.8146,0.7756,0.8146
RefrigerationDevices,0.5373,0.5323,0.4987,0.5813,0.5253,0.5573,0.5093,0.5387
ScreenType,0.4853,0.4552,0.4640,0.5200,0.6216,0.5893,0.5760,0.5040
ShapeletSim,1.0,0.7761,1.0,0.9556,0.7794,1.0,0.9889,1.0
ShapesAll,0.9068,0.8858,0.9083,0.8417,0.9213,0.9050,0.9250,0.9300
SmallKitchenAppliances,0.8184,0.7443,0.7253,0.7920,0.7861,0.8533,0.7787,0.8160
SonyAIBORobotSurface1,0.9225,0.8458,0.6323,0.8436,0.9581,0.7654,0.8835,0.8270
SonyAIBORobotSurface2,0.9126,0.8963,0.8594,0.9339,0.9778,0.9276,0.9528,0.9286
StarLightCurves,0.9810,0.9813,0.9778,0.9785,0.9718,0.9815,0.9792,0.9820
Strawberry,0.9814,0.9684,0.9757,0.9622,0.9805,0.9703,0.9838,0.9676
SwedishLeaf,0.9640,0.9466,0.9216,0.9280,0.9563,0.9536,0.9712,0.9664
Symbols,0.9743,0.9616,0.9668,0.8824,0.9064,0.9739,0.9819,0.9799
SyntheticControl,0.9997,0.9953,0.9667,0.9833,0.9983,0.9967,0.9967,1.0
ToeSegmentation1,0.9684,0.9246,0.9386,0.9649,0.9627,0.9825,0.9693,0.9693
ToeSegmentation2,0.9238,0.8623,0.9615,0.9077,0.9062,0.9538,0.9385,0.9538
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.9991,0.9886,0.9807,0.9974,1.0,0.9965,0.9956,0.9965
TwoPatterns,1.0,0.9996,0.9930,0.9550,0.9999,1.0,1.0,1.0
UWaveGestureLibraryAll,0.9754,0.9723,0.9389,0.9422,0.8595,0.9685,0.9545,0.9687
UWaveGestureLibraryX,0.8547,0.8286,0.7621,0.8029,0.7805,0.8398,0.8247,0.8417
UWaveGestureLibraryY,0.7740,0.7615,0.6851,0.7303,0.6701,0.7655,0.7688,0.7716
UWaveGestureLibraryZ,0.7919,0.7640,0.6949,0.7485,0.7501,0.7831,0.7697,0.7797
Wafer,0.9982,0.9955,0.9948,1.0,0.9986,0.9994,0.9987,0.9989
Wine,0.8130,0.5685,0.7407,0.7963,0.7444,0.7778,0.6667,0.8889
WordSynonyms,0.7534,0.7787,0.6379,0.5705,0.6224,0.7382,0.7555,0.7868
Worms,0.7403,0.7182,0.5584,0.7403,0.7909,0.5584,0.8052,0.7922
WormsTwoClass,0.7974,0.7844,0.8312,0.8312,0.7468,0.7792,0.7922,0.8182
Yoga,0.9104,0.8786,0.9183,0.8177,0.8702,0.9177,0.9057,0.8483
