,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_p,range_q,method,len_method
46,0.1201923076923077,48.17880868911743,3.2241873741149902,5.048412322998047,39.31869435310364,0.5368657112121582,PigAirwayPressure,ACF: p=0 q=0.3,0,0.3,Rsastmf,ACF
47,0.7932692307692307,49.25320386886597,3.1493239402770996,4.918651580810547,40.61487913131714,0.5448946952819824,PigAirwayPressure,ACF: p=0 q=0.3,0,0.3,DictRsast,ACF
48,0.1201923076923077,50.053147077560425,3.1423180103302,5.055830717086792,41.24752974510193,0.5550882816314697,PigAirwayPressure,ACF: p=0.1 q=0.1,0.1,0.1,Rsastmf,ACF
49,0.7932692307692307,49.2830855846405,3.1571238040924072,4.938308477401733,40.80851149559021,0.35149526596069336,PigAirwayPressure,ACF: p=0.1 q=0.1,0.1,0.1,DictRsast,ACF
50,0.11057692307692307,49.60799527168274,3.134765386581421,5.008477687835693,40.82032132148743,0.5508725643157959,PigAirwayPressure,ACF: p=0.1 q=0.2,0.1,0.2,Rsastmf,ACF
51,0.7211538461538461,51.65682411193848,3.1480648517608643,4.902762413024902,43.02211952209473,0.5423414707183838,PigAirwayPressure,ACF: p=0.1 q=0.2,0.1,0.2,DictRsast,ACF
52,0.125,49.63074970245361,3.1344799995422363,4.976773023605347,40.923290491104126,0.5465412139892578,PigAirwayPressure,ACF: p=0.1 q=0.3,0.1,0.3,Rsastmf,ACF
53,0.5384615384615384,48.73058295249939,3.1478495597839355,4.9775354862213135,40.02774429321289,0.5436930656433105,PigAirwayPressure,ACF: p=0.1 q=0.3,0.1,0.3,DictRsast,ACF
54,0.11538461538461539,48.58441734313965,3.1269173622131348,4.973100662231445,39.88247895240784,0.5524089336395264,PigAirwayPressure,ACF: p=0.2 q=0.2,0.2,0.2,Rsastmf,ACF
55,0.5865384615384616,50.41318106651306,3.245065689086914,4.913146734237671,41.682705879211426,0.5471527576446533,PigAirwayPressure,ACF: p=0.2 q=0.2,0.2,0.2,DictRsast,ACF
56,0.11538461538461539,48.16230320930481,3.109830856323242,4.968708276748657,39.441760778427124,0.5525860786437988,PigAirwayPressure,ACF: p=0.2 q=0.3,0.2,0.3,Rsastmf,ACF
57,0.46153846153846156,49.19613003730774,3.1463711261749268,4.929823637008667,40.52495312690735,0.5498666763305664,PigAirwayPressure,ACF: p=0.2 q=0.3,0.2,0.3,DictRsast,ACF
58,0.10096153846153846,48.616992235183716,3.202589511871338,5.0128703117370605,39.79492545127869,0.5519490242004395,PigAirwayPressure,ACF: p=0.3 q=0.3,0.3,0.3,Rsastmf,ACF
59,0.40865384615384615,51.99596548080444,3.1402502059936523,5.9991655349731445,42.26784348487854,0.5408625602722168,PigAirwayPressure,ACF: p=0.3 q=0.3,0.3,0.3,DictRsast,ACF
